	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800
1	81.98%	82.29%	81.8%	81.13%	80.37%	79.66%	79.14%	78.58%	77.66%	76.81%	76.5%	75.92%	75.52%	75.02%	74.61%	74.23%	73.38%
2	82.53%	82.94%	82.73%	82.14%	81.54%	80.85%	80.32%	79.89%	79.18%	78.46%	78.12%	77.67%	77.26%	76.84%	76.45%	76.13%	75.38%
3	83.04%	83.63%	83.55%	83.08%	82.67%	82.12%	81.67%	81.3%	80.77%	80.2%	79.96%	79.56%	79.15%	78.84%	78.54%	78.15%	77.49%
4	83.25%	84.08%	83.79%	83.65%	83.36%	82.94%	82.49%	82.15%	81.82%	81.15%	80.89%	80.62%	80.25%	79.74%	79.42%	79.17%	78.51%
5	82.84%	83.55%	83.78%	83.64%	83.28%	82.93%	82.78%	82.61%	82.32%	81.86%	81.7%	81.51%	81.2%	80.52%	80.2%	79.88%	79.39%
6	81.09%	81.88%	81.95%	81.53%	81.36%	80.84%	80.46%	80.29%	79.83%	79.02%	78.64%	78.38%	77.97%	77.24%	76.73%	76.05%	75.21%
7	79.24%	79.9%	79.69%	79.18%	78.78%	77.91%	77.58%	77.14%	76.82%	76.11%	75.7%	75.34%	75.15%	75.19%	74.91%	74.72%	74.23%
8	77.3%	76.77%	76.5%	75.86%	75.59%	74.63%	74.58%	74.01%	73.46%	72.39%	72.19%	72.06%	71.86%	71.56%	71.54%	71.27%	70.94%
9	73.68%	72.66%	72.01%	70.63%	69.93%	68.39%	68.26%	67.47%	67.16%	65.78%	65.83%	65.46%	65.22%	64.86%	64.95%	65.25%	65.09%
10	70.3%	69.09%	67.99%	66.61%	66.13%	64.42%	63.77%	63.13%	62.91%	61.61%	61.39%	61.25%	60.91%	60.39%	60.45%	60.17%	59.89%
